REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,LNDAGRKENC01,2020,240.6873
GLOBAL,LNDAGRKENC01,2021,240.6873
GLOBAL,LNDAGRKENC01,2022,240.6873
GLOBAL,LNDAGRKENC01,2023,240.6873
GLOBAL,LNDAGRKENC01,2024,240.6873
GLOBAL,LNDAGRKENC01,2025,240.6873
GLOBAL,LNDAGRKENC01,2026,240.6873
GLOBAL,LNDAGRKENC01,2027,240.6873
GLOBAL,LNDAGRKENC01,2028,240.6873
GLOBAL,LNDAGRKENC01,2029,240.6873
GLOBAL,LNDAGRKENC01,2030,240.6873
GLOBAL,LNDAGRKENC01,2031,240.6873
GLOBAL,LNDAGRKENC01,2032,240.6873
GLOBAL,LNDAGRKENC01,2033,240.6873
GLOBAL,LNDAGRKENC01,2034,240.6873
GLOBAL,LNDAGRKENC01,2035,240.6873
GLOBAL,LNDAGRKENC01,2036,240.6873
GLOBAL,LNDAGRKENC01,2037,240.6873
GLOBAL,LNDAGRKENC01,2038,240.6873
GLOBAL,LNDAGRKENC01,2039,240.6873
GLOBAL,LNDAGRKENC01,2040,240.6873
GLOBAL,LNDAGRKENC02,2020,195.959
GLOBAL,LNDAGRKENC02,2021,195.959
GLOBAL,LNDAGRKENC02,2022,195.959
GLOBAL,LNDAGRKENC02,2023,195.959
GLOBAL,LNDAGRKENC02,2024,195.959
GLOBAL,LNDAGRKENC02,2025,195.959
GLOBAL,LNDAGRKENC02,2026,195.959
GLOBAL,LNDAGRKENC02,2027,195.959
GLOBAL,LNDAGRKENC02,2028,195.959
GLOBAL,LNDAGRKENC02,2029,195.959
GLOBAL,LNDAGRKENC02,2030,195.959
GLOBAL,LNDAGRKENC02,2031,195.959
GLOBAL,LNDAGRKENC02,2032,195.959
GLOBAL,LNDAGRKENC02,2033,195.959
GLOBAL,LNDAGRKENC02,2034,195.959
GLOBAL,LNDAGRKENC02,2035,195.959
GLOBAL,LNDAGRKENC02,2036,195.959
GLOBAL,LNDAGRKENC02,2037,195.959
GLOBAL,LNDAGRKENC02,2038,195.959
GLOBAL,LNDAGRKENC02,2039,195.959
GLOBAL,LNDAGRKENC02,2040,195.959
GLOBAL,LNDAGRKENC03,2020,68.079
GLOBAL,LNDAGRKENC03,2021,68.079
GLOBAL,LNDAGRKENC03,2022,68.079
GLOBAL,LNDAGRKENC03,2023,68.079
GLOBAL,LNDAGRKENC03,2024,68.079
GLOBAL,LNDAGRKENC03,2025,68.079
GLOBAL,LNDAGRKENC03,2026,68.079
GLOBAL,LNDAGRKENC03,2027,68.079
GLOBAL,LNDAGRKENC03,2028,68.079
GLOBAL,LNDAGRKENC03,2029,68.079
GLOBAL,LNDAGRKENC03,2030,68.079
GLOBAL,LNDAGRKENC03,2031,68.079
GLOBAL,LNDAGRKENC03,2032,68.079
GLOBAL,LNDAGRKENC03,2033,68.079
GLOBAL,LNDAGRKENC03,2034,68.079
GLOBAL,LNDAGRKENC03,2035,68.079
GLOBAL,LNDAGRKENC03,2036,68.079
GLOBAL,LNDAGRKENC03,2037,68.079
GLOBAL,LNDAGRKENC03,2038,68.079
GLOBAL,LNDAGRKENC03,2039,68.079
GLOBAL,LNDAGRKENC03,2040,68.079
GLOBAL,LNDAGRKENC04,2020,81.687
GLOBAL,LNDAGRKENC04,2021,81.687
GLOBAL,LNDAGRKENC04,2022,81.687
GLOBAL,LNDAGRKENC04,2023,81.687
GLOBAL,LNDAGRKENC04,2024,81.687
GLOBAL,LNDAGRKENC04,2025,81.687
GLOBAL,LNDAGRKENC04,2026,81.687
GLOBAL,LNDAGRKENC04,2027,81.687
GLOBAL,LNDAGRKENC04,2028,81.687
GLOBAL,LNDAGRKENC04,2029,81.687
GLOBAL,LNDAGRKENC04,2030,81.687
GLOBAL,LNDAGRKENC04,2031,81.687
GLOBAL,LNDAGRKENC04,2032,81.687
GLOBAL,LNDAGRKENC04,2033,81.687
GLOBAL,LNDAGRKENC04,2034,81.687
GLOBAL,LNDAGRKENC04,2035,81.687
GLOBAL,LNDAGRKENC04,2036,81.687
GLOBAL,LNDAGRKENC04,2037,81.687
GLOBAL,LNDAGRKENC04,2038,81.687
GLOBAL,LNDAGRKENC04,2039,81.687
GLOBAL,LNDAGRKENC04,2040,81.687
