REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGKENXX00,CO2,1,2020,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2021,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2022,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2023,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2024,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2025,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2026,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2027,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2028,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2029,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2030,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2031,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2032,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2033,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2034,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2035,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2036,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2037,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2038,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2039,0.0503
GLOBAL,PWRCCGKENXX00,CO2,1,2040,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2020,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2021,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2022,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2023,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2024,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2025,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2026,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2027,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2028,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2029,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2030,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2031,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2032,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2033,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2034,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2035,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2036,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2037,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2038,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2039,0.0503
GLOBAL,PWRCCGKENXX00,CO2,2,2040,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2020,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2021,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2022,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2023,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2024,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2025,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2026,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2027,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2028,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2029,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2030,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2031,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2032,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2033,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2034,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2035,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2036,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2037,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2038,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2039,0.0503
GLOBAL,PWROCGKENXX00,CO2,1,2040,0.0503
GLOBAL,PWROCGKENXX00,CO2,2,2020,0.0503
GLOBAL,PWROCGKENXX00,CO2,2,2021,0.0503
GLOBAL,PWROCGKENXX00,CO2,2,2022,0.0503
GLOBAL,PWROCGKENXX00,CO2,2,2023,0.0503
GLOBAL,PWROCGKENXX00,CO2,2,2024,0.0503
GLOBAL,PWROCGKENXX00,CO2,2,2025,0.0503
GLOBAL,PWROCGKENXX00,CO2,2,2026,0.0503
GLOBAL,PWROCGKENXX00,CO2,2,2027,0.0503
