REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2,2020,0
GLOBAL,CO2,2021,0
GLOBAL,CO2,2022,0
GLOBAL,CO2,2023,0
GLOBAL,CO2,2024,0
GLOBAL,CO2,2025,0
GLOBAL,CO2,2026,0
GLOBAL,CO2,2027,0
GLOBAL,CO2,2028,0
GLOBAL,CO2,2029,0
GLOBAL,CO2,2030,0
GLOBAL,CO2,2031,0
GLOBAL,CO2,2032,0
GLOBAL,CO2,2033,0
GLOBAL,CO2,2034,0
GLOBAL,CO2,2035,0
GLOBAL,CO2,2036,0
GLOBAL,CO2,2037,0
GLOBAL,CO2,2038,0
GLOBAL,CO2,2039,0
GLOBAL,CO2,2040,0
