cluster,clusters_yield,LCType11,LCType10,LCType5,LCType7,LCType6,LCType3,LCType2,LCType8,LCType4,LCType1,LCType9,sqkm
0,1,4081.3,34200.2,13553.7,18933.9,12416.1,29226.2,2555.5,0.0,0.0,1211.3,125.0,116303.1
1,2,7911.9,2758.5,33.3,31559.6,7042.3,157425.7,3291.1,5576.3,4511.3,0.0,0.0,220110.1
2,3,100.0,12969.7,6757.2,7337.3,7023.9,6611.7,4415.0,0.0,0.0,826.2,0.0,46041.0
3,4,0.0,14547.6,2093.7,35629.2,27026.7,101254.4,13190.4,5089.9,5126.3,0.0,0.0,203958.4
