cluster,clusters_yield,LCType11,LCType10,LCType5,LCType7,LCType6,LCType3,LCType2,LCType8,LCType4,LCType1,LCType9,sqkm
0,1,4081.3,39903.2,10050.6,41355.0,35222.6,88298.6,14753.5,3400.6,3653.3,267.1,91.6,241077.4
1,2,7886.9,2484.0,33.3,26136.0,5252.4,119114.9,2758.3,5236.2,3680.1,0.0,0.0,172582.1
2,3,100.0,21186.4,12353.9,11160.0,9695.8,10124.6,5065.9,0.0,0.0,1770.4,33.3,71490.5
3,4,25.0,902.5,0.0,14809.0,3338.1,76979.9,874.3,2029.3,2304.3,0.0,0.0,101262.6
